App,Model,Table,Field,Type,Relation To,Relation Type,Null,Unique
Core,User,core_user,id,BigAutoField,,,No,Yes
Core,User,core_user,password,CharField,,,No,No
Core,User,core_user,last_login,DateTimeField,,,Yes,No
Core,User,core_user,is_superuser,BooleanField,,,No,No
Core,User,core_user,first_name,CharField,,,No,No
Core,User,core_user,last_name,CharField,,,No,No
Core,User,core_user,is_staff,BooleanField,,,No,No
Core,User,core_user,is_active,BooleanField,,,No,No
Core,User,core_user,date_joined,DateTimeField,,,No,No
Core,User,core_user,created_at,DateTimeField,,,No,No
Core,User,core_user,updated_at,DateTimeField,,,No,No
Core,User,core_user,created_by,ForeignKey,User,FK,Yes,No
Core,User,core_user,updated_by,ForeignKey,User,FK,Yes,No
Core,User,core_user,email,CharField,,,No,Yes
Core,User,core_user,phone_number,CharField,,,No,Yes
Core,User,core_user,id_number,CharField,,,Yes,Yes
Core,User,core_user,gender,CharField,,,Yes,No
Core,User,core_user,date_of_birth,DateField,,,Yes,No
Core,User,core_user,profile_picture,FileField,,,Yes,No
Core,User,core_user,role,CharField,,,No,No
Core,User,core_user,is_verified,BooleanField,,,No,No
Core,User,core_user,verification_token,UUIDField,,,No,No
Core,User,core_user,verification_token_expiry,DateTimeField,,,Yes,No
Core,User,core_user,groups,ManyToManyField,Group,M2M,Yes,No
Core,User,core_user,user_permissions,ManyToManyField,Permission,M2M,Yes,No
Core,Company,core_company,id,UUIDField,,,No,Yes
Core,Company,core_company,created_at,DateTimeField,,,No,No
Core,Company,core_company,updated_at,DateTimeField,,,No,No
Core,Company,core_company,is_active,BooleanField,,,No,No
Core,Company,core_company,name,CharField,,,No,Yes
Core,Company,core_company,slug,SlugField,,,No,Yes
Core,Company,core_company,company_type,CharField,,,No,No
Core,Company,core_company,email,CharField,,,No,No
Core,Company,core_company,phone_number,CharField,,,No,No
Core,Company,core_company,address,TextField,,,No,No
Core,Company,core_company,city,CharField,,,No,No
Core,Company,core_company,county,CharField,,,Yes,No
Core,Company,core_company,postal_code,CharField,,,Yes,No
Core,Company,core_company,registration_number,CharField,,,No,Yes
Core,Company,core_company,tax_pin,CharField,,,Yes,No
Core,Company,core_company,website,CharField,,,Yes,No
Core,Company,core_company,logo,FileField,,,Yes,No
Core,Company,core_company,subscription_plan,CharField,,,No,No
Core,Company,core_company,subscription_expiry,DateField,,,Yes,No
Core,Tenant,core_tenant,id,UUIDField,,,No,Yes
Core,Tenant,core_tenant,created_at,DateTimeField,,,No,No
Core,Tenant,core_tenant,updated_at,DateTimeField,,,No,No
Core,Tenant,core_tenant,is_active,BooleanField,,,No,No
Core,Tenant,core_tenant,company,OneToOneField,Company,O2O,No,Yes
Core,Tenant,core_tenant,subdomain,CharField,,,No,Yes
Core,Tenant,core_tenant,domain,CharField,,,Yes,No
Core,Tenant,core_tenant,database_name,CharField,,,No,No
Core,Tenant,core_tenant,status,CharField,,,No,No
Core,Tenant,core_tenant,max_users,IntegerField,,,No,No
Core,Tenant,core_tenant,max_customers,IntegerField,,,No,No
Core,Tenant,core_tenant,features,JSONField,,,No,No
Core,Tenant,core_tenant,billing_cycle,CharField,,,No,No
Core,Tenant,core_tenant,monthly_rate,DecimalField,,,No,No
Core,Tenant,core_tenant,next_billing_date,DateField,,,Yes,No
Core,SystemSettings,core_systemsettings,id,UUIDField,,,No,Yes
Core,SystemSettings,core_systemsettings,created_at,DateTimeField,,,No,No
Core,SystemSettings,core_systemsettings,updated_at,DateTimeField,,,No,No
Core,SystemSettings,core_systemsettings,is_active,BooleanField,,,No,No
Core,SystemSettings,core_systemsettings,key,CharField,,,No,Yes
Core,SystemSettings,core_systemsettings,name,CharField,,,No,No
Core,SystemSettings,core_systemsettings,value,TextField,,,No,No
Core,SystemSettings,core_systemsettings,setting_type,CharField,,,No,No
Core,SystemSettings,core_systemsettings,data_type,CharField,,,No,No
Core,SystemSettings,core_systemsettings,is_public,BooleanField,,,No,No
Core,SystemSettings,core_systemsettings,description,TextField,,,Yes,No
Core,AuditLog,core_auditlog,id,UUIDField,,,No,Yes
Core,AuditLog,core_auditlog,created_at,DateTimeField,,,No,No
Core,AuditLog,core_auditlog,updated_at,DateTimeField,,,No,No
Core,AuditLog,core_auditlog,is_active,BooleanField,,,No,No
Core,AuditLog,core_auditlog,user,ForeignKey,User,FK,Yes,No
Core,AuditLog,core_auditlog,action,CharField,,,No,No
Core,AuditLog,core_auditlog,model_name,CharField,,,No,No
Core,AuditLog,core_auditlog,object_id,CharField,,,Yes,No
Core,AuditLog,core_auditlog,object_repr,CharField,,,Yes,No
Core,AuditLog,core_auditlog,changes,JSONField,,,Yes,No
Core,AuditLog,core_auditlog,ip_address,GenericIPAddressField,,,Yes,No
Core,AuditLog,core_auditlog,user_agent,TextField,,,Yes,No
Core,AuditLog,core_auditlog,timestamp,DateTimeField,,,No,No
Core,AuditLog,core_auditlog,tenant,ForeignKey,Tenant,FK,Yes,No
Customers,Customer,customers_customer,id,BigAutoField,,,No,Yes
Customers,Customer,customers_customer,user,OneToOneField,User,O2O,No,Yes
Customers,Customer,customers_customer,company,ForeignKey,Company,FK,No,No
Customers,Customer,customers_customer,customer_code,CharField,,,No,Yes
Customers,Customer,customers_customer,date_of_birth,DateField,,,Yes,No
Customers,Customer,customers_customer,gender,CharField,,,No,No
Customers,Customer,customers_customer,id_type,CharField,,,No,No
Customers,Customer,customers_customer,id_number,CharField,,,No,Yes
Customers,Customer,customers_customer,alternative_phone,CharField,,,No,No
Customers,Customer,customers_customer,marital_status,CharField,,,No,No
Customers,Customer,customers_customer,occupation,CharField,,,No,No
Customers,Customer,customers_customer,employer,CharField,,,No,No
Customers,Customer,customers_customer,customer_type,CharField,,,No,No
Customers,Customer,customers_customer,status,CharField,,,No,No
Customers,Customer,customers_customer,category,CharField,,,No,No
Customers,Customer,customers_customer,activation_date,DateField,,,No,No
Customers,Customer,customers_customer,deactivation_date,DateField,,,Yes,No
Customers,Customer,customers_customer,referral_source,CharField,,,No,No
Customers,Customer,customers_customer,notes,TextField,,,No,No
Customers,Customer,customers_customer,billing_cycle,PositiveIntegerField,,,No,No
Customers,Customer,customers_customer,credit_limit,DecimalField,,,No,No
Customers,Customer,customers_customer,outstanding_balance,DecimalField,,,No,No
Customers,Customer,customers_customer,receive_sms,BooleanField,,,No,No
Customers,Customer,customers_customer,receive_email,BooleanField,,,No,No
Customers,Customer,customers_customer,receive_promotions,BooleanField,,,No,No
Customers,Customer,customers_customer,created_by,ForeignKey,User,FK,Yes,No
Customers,Customer,customers_customer,updated_by,ForeignKey,User,FK,Yes,No
Customers,Customer,customers_customer,created_at,DateTimeField,,,No,No
Customers,Customer,customers_customer,updated_at,DateTimeField,,,No,No
